Raw num:,Locality,Zip code,Kitchen,Type of property,Subtype of property,Price of property in euro,Type of Sale,Number of bedrooms,Living area,Terrace,Garden,Garden area,Surface of the land(or plot of land),Number of facades,Swimming pool,ID number,State of the building,URL
,Uccle,1180,1,apartment,flat studio,170000,isUnderOption,1,35,,,,,2,,10547922,good,https://www.immoweb.be/en/classified/flat-studio/for-sale/uccle/1180/10547922
,Blankenberge,8370,1,apartment,flat studio,175000,,0,33,,,,,2,,10560538,good,https://www.immoweb.be/en/classified/flat-studio/for-sale/blankenberge/8370/10560538
,Lokeren,9160,0,apartment,apartment,174000,,1,,1,,,,4,,10629837,as new,https://www.immoweb.be/en/classified/apartment/for-sale/lokeren/9160/10629837
,Jodoigne,1370,1,apartment,apartment,175000,,2,182,,,,,2,,10583519,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/jodoigne/1370/10583519
,Zaventem Sint-Stevens-Woluwe,1932,1,apartment,flat studio,170000,isUnderOption,0,37,1,,,,,,10433234,good,https://www.immoweb.be/en/classified/flat-studio/for-sale/zaventem%20sint-stevens-woluwe/1932/10433234
,Awans,4340,1,house,house,370000,isUnderOption,3,156,1,1,365,450,4,1,10586613,good,https://www.immoweb.be/en/classified/house/for-sale/awans/4340/10586613
,Blankenberge,8370,1,apartment,apartment,175000,,1,57,,,,,2,,10560537,good,https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/10560537
,Balen,2490,1,apartment,ground floor,175000,isUnderOption,2,68,,,,,,,10623750,good,https://www.immoweb.be/en/classified/ground-floor/for-sale/balen/2490/10623750
,OBAIX,6230,1,house,villa,374900,,4,170,1,1,800,1035,4,,10263259,as new,https://www.immoweb.be/en/classified/villa/for-sale/obaix/6230/10263259
,Pont-à-Celles Liberchies,6238,1,house,house,369900,isUnderOption,3,200,1,1,500,603,2,,10602784,as new,https://www.immoweb.be/en/classified/house/for-sale/pont-%C3%A0-celles%20liberchies/6238/10602784
,Boneffe,5310,1,house,house,370000,isUnderOption,2,165,1,1,708,810,2,,10280387,good,https://www.immoweb.be/en/classified/house/for-sale/boneffe/5310/10280387
,Langemark-Poelkapelle,8920,1,house,house,370000,,4,247,1,,,731,3,,10627377,good,https://www.immoweb.be/en/classified/house/for-sale/langemark-poelkapelle/8920/10627377
,Blankenberge,8370,1,house,house,375000,,5,138,1,,,77,2,,10535586,as new,https://www.immoweb.be/en/classified/house/for-sale/blankenberge/8370/10535586
,Gent,9000,1,house,house,370000,,4,180,,1,40,88,2,,10610516,as new,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/10610516
,Tremelo,3120,1,house,house,380000,,4,220,1,,,863,4,,10582524,to renovate,https://www.immoweb.be/en/classified/house/for-sale/tremelo/3120/10582524
,Oosterzele,9860,1,house,house,375000,,2,206,1,,,730,3,,10627882,good,https://www.immoweb.be/en/classified/house/for-sale/oosterzele/9860/10627882
,Herzele,9550,1,house,house,375000,,5,315,1,1,550,950,4,,10591471,just renovated,https://www.immoweb.be/en/classified/house/for-sale/herzele/9550/10591471
,Zuienkerke,8377,1,house,house,379000,,3,179,1,1,220,300,3,,10464755,good,https://www.immoweb.be/en/classified/house/for-sale/zuienkerke/8377/10464755
,De Haan,8420,1,house,house,375000,isUnderOption,3,113,1,,,123,3,,10456786,as new,https://www.immoweb.be/en/classified/house/for-sale/de%20haan/8420/10456786
,Ternat,1740,1,house,bungalow,384000,,2,144,1,1,1601,1601,4,,10522950,good,https://www.immoweb.be/en/classified/bungalow/for-sale/ternat/1740/10522950
,Niel,2845,1,house,house,384000,isUnderOption,3,148,1,1,118,197,2,,10600481,good,https://www.immoweb.be/en/classified/house/for-sale/niel/2845/10600481
,GENTINNES,1450,,house,house,389000,,4,190,,,,852,,,10594244,,https://www.immoweb.be/en/classified/house/for-sale/gentinnes/1450/10594244
,NALINNES,6120,1,house,house,380000,,3,160,1,,,1110,4,,10577789,good,https://www.immoweb.be/en/classified/house/for-sale/nalinnes/6120/10577789
,Oostende,8400,1,house,house,385000,,3,158,1,,,280,3,,10635685,good,https://www.immoweb.be/en/classified/house/for-sale/oostende/8400/10635685
,Libramont-Chevigny,6800,1,house,house,389000,,5,434,1,1,630,1104,4,,10572934,just renovated,https://www.immoweb.be/en/classified/house/for-sale/libramont-chevigny/6800/10572934
,Wilrijk,2610,1,house,house,385000,isUnderOption,4,161,1,1,381,512,2,,10505587,good,https://www.immoweb.be/en/classified/house/for-sale/wilrijk/2610/10505587
,Libin,6890,1,house,house,389000,,5,434,1,1,630,1104,4,,10552770,just renovated,https://www.immoweb.be/en/classified/house/for-sale/libin/6890/10552770
,Londerzeel,1840,1,house,town house,389000,,3,142,1,1,100,243,2,,10543136,good,https://www.immoweb.be/en/classified/town-house/for-sale/londerzeel/1840/10543136
,Oudenburg,8460,1,house,house,389000,,3,133,,,,347,3,,10470833,just renovated,https://www.immoweb.be/en/classified/house/for-sale/oudenburg/8460/10470833
,Seraing,4100,1,house,house,389000,,4,226,1,1,230,502,3,,10570855,good,https://www.immoweb.be/en/classified/house/for-sale/seraing/4100/10570855
,Deinze,9800,1,house,house,389000,,3,180,1,,,842,,,10565355,good,https://www.immoweb.be/en/classified/house/for-sale/deinze/9800/10565355
,Wondelgem,9032,1,house,house,389000,,3,160,1,,,268,3,,10465356,good,https://www.immoweb.be/en/classified/house/for-sale/wondelgem/9032/10465356
,Overijse,3090,1,house,house,395000,,4,197,1,1,1200,1480,2,,10527829,to be done up,https://www.immoweb.be/en/classified/house/for-sale/overijse/3090/10527829
,Affligem,1790,1,house,house,395000,isUnderOption,3,166,1,1,150,334,3,,10585300,as new,https://www.immoweb.be/en/classified/house/for-sale/affligem/1790/10585300
,Lievegem,9950,1,house,house,389000,,4,200,1,1,60,177,2,,10626404,as new,https://www.immoweb.be/en/classified/house/for-sale/lievegem/9950/10626404
,Braives,4260,1,house,house,389999,,3,196,1,,,1811,4,,10404602,good,https://www.immoweb.be/en/classified/house/for-sale/braives/4260/10404602
,Anderlecht,1070,1,apartment,duplex,180000,isUnderOption,2,74,,,,,2,,10588253,as new,https://www.immoweb.be/en/classified/duplex/for-sale/anderlecht/1070/10588253
,Marchienne-au-Pont,6030,1,apartment,apartment,179000,,3,125,1,,,,3,,10576912,just renovated,https://www.immoweb.be/en/classified/apartment/for-sale/marchienne-au-pont/6030/10576912
,Maldegem,9990,1,house,house,395000,isUnderOption,4,196,,,,685,3,,10606912,as new,https://www.immoweb.be/en/classified/house/for-sale/maldegem/9990/10606912
,Blankenberge,8370,1,apartment,apartment,187000,,1,67,,,,,2,,10560548,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/blankenberge/8370/10560548
,Anderlecht,1070,,apartment,apartment,189000,,2,50,1,,,,2,,10188811,good,https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/10188811
,Antwerp,2140,1,apartment,apartment,188000,,2,96,1,,,,2,,10439648,good,https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2140/10439648
,Koksijde,8670,1,apartment,apartment,185000,,1,55,1,,,,2,,10613883,as new,https://www.immoweb.be/en/classified/apartment/for-sale/koksijde/8670/10613883
,WOLUWE-SAINT-PIERRE,1150,1,apartment,flat studio,185000,,0,27,,,,,2,,10575065,,https://www.immoweb.be/en/classified/flat-studio/for-sale/woluwe-saint-pierre/1150/10575065
,Liège 2,4020,1,apartment,apartment,185000,,2,74,,,,,3,,10555484,good,https://www.immoweb.be/en/classified/apartment/for-sale/li%C3%A8ge%202/4020/10555484
,Kortrijk,8500,1,apartment,apartment,184500,isUnderOption,2,86,1,,,,2,,10593548,just renovated,https://www.immoweb.be/en/classified/apartment/for-sale/kortrijk/8500/10593548
,Vilvoorde,1800,1,apartment,service flat,189000,,1,60,1,,,,2,,9866363,good,https://www.immoweb.be/en/classified/service-flat/for-sale/vilvoorde/1800/9866363
,Izegem,8870,1,apartment,apartment,189000,,1,77,,,,,,,10499884,as new,https://www.immoweb.be/en/classified/apartment/for-sale/izegem/8870/10499884
,WOLUWE-SAINT-PIERRE,1150,1,apartment,flat studio,189500,,0,25,,,,,2,,10575064,,https://www.immoweb.be/en/classified/flat-studio/for-sale/woluwe-saint-pierre/1150/10575064
,Mont-sur-Marchienne,6032,1,apartment,duplex,189000,,2,75,,,,,,,10508526,as new,https://www.immoweb.be/en/classified/duplex/for-sale/mont-sur-marchienne/6032/10508526
,Anzegem,8570,1,apartment,apartment,192500,,3,108,1,,,,,,10584952,as new,https://www.immoweb.be/en/classified/apartment/for-sale/anzegem/8570/10584952
,Turnhout,2300,1,apartment,apartment,192000,,1,61,1,,,,3,,10441629,,https://www.immoweb.be/en/classified/apartment/for-sale/turnhout/2300/10441629
,Sint-Jans-Molenbeek,1080,1,apartment,apartment,198000,,2,74,,,,,2,,10439613,good,https://www.immoweb.be/en/classified/apartment/for-sale/sint-jans-molenbeek/1080/10439613
,Schaerbeek,1030,1,apartment,apartment,195000,isUnderOption,1,64,1,,,,2,,10365243,good,https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/10365243
,Schaerbeek,1030,1,apartment,duplex,195000,isUnderOption,2,97,1,,,,2,,10244700,good,https://www.immoweb.be/en/classified/duplex/for-sale/schaerbeek/1030/10244700
,SART-TILMAN,4031,1,apartment,apartment,195000,,1,54,,,,,,,10632481,,https://www.immoweb.be/en/classified/apartment/for-sale/sart-tilman/4031/10632481
,Molenbeek-St-Jean,1080,1,apartment,apartment,195000,,1,72,1,,,,2,,10623172,as new,https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-st-jean/1080/10623172
,Schaerbeek,1030,1,apartment,apartment,195000,isUnderOption,2,97,1,,,,2,,10244699,good,https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/10244699
,MOLENBEEK-SAINT-JEAN,1080,1,apartment,duplex,199000,,3,120,1,,,,2,,10615625,,https://www.immoweb.be/en/classified/duplex/for-sale/molenbeek-saint-jean/1080/10615625
,Anderlecht,1070,1,apartment,apartment,195000,isUnderOption,2,80,1,,,,2,,10532322,just renovated,https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/10532322
,Ronse,9600,1,apartment,ground floor,199000,,2,70,1,,,,,,10615119,good,https://www.immoweb.be/en/classified/ground-floor/for-sale/ronse/9600/10615119
,Kortrijk,8500,1,apartment,apartment,199500,,2,84,,,,,,,10569591,as new,https://www.immoweb.be/en/classified/apartment/for-sale/kortrijk/8500/10569591
,Antwerpen,2170,1,apartment,apartment,199000,,2,100,1,,,,2,,10466799,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2170/10466799
,Bredene,8450,1,apartment,apartment,199000,,1,55,1,,,,,,10592982,as new,https://www.immoweb.be/en/classified/apartment/for-sale/bredene/8450/10592982
,Manage,7170,1,apartment,apartment,200000,,5,164,1,1,45,,2,,10171739,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/manage/7170/10171739
,Liedekerke,1770,1,house,house,397000,isUnderOption,4,198,1,1,400,616,3,,10554858,good,https://www.immoweb.be/en/classified/house/for-sale/liedekerke/1770/10554858
,Hannut Blehen,4280,1,house,house,399000,,4,148,1,1,1222,1308,4,1,10557174,good,https://www.immoweb.be/en/classified/house/for-sale/hannut%20blehen/4280/10557174
,Tienen,3300,1,apartment,duplex,199990,,2,109,,,,,2,,10500866,good,https://www.immoweb.be/en/classified/duplex/for-sale/tienen/3300/10500866
,Bost,3300,1,house,villa,398000,,4,250,1,1,1100,1349,4,,10534262,to renovate,https://www.immoweb.be/en/classified/villa/for-sale/bost/3300/10534262
,Pepinster,4860,1,house,house,399000,isUnderOption,5,284,1,1,1136,1374,4,,10572752,good,https://www.immoweb.be/en/classified/house/for-sale/pepinster/4860/10572752
,Wondelgem,9032,1,house,house,398000,isUnderOption,2,152,1,,,329,3,,10614341,as new,https://www.immoweb.be/en/classified/house/for-sale/wondelgem/9032/10614341
,Gedinne Houdremont,5575,1,house,house,399000,,5,277,1,1,1140,1939,4,1,10561381,good,https://www.immoweb.be/en/classified/house/for-sale/gedinne%20houdremont/5575/10561381
,Lessines,7860,1,house,country cottage,398000,,6,320,1,,,7112,4,,10606151,,https://www.immoweb.be/en/classified/country-cottage/for-sale/lessines/7860/10606151
,Deux-Acren,7864,1,house,country cottage,398000,,5,320,1,,,7112,4,,10589801,,https://www.immoweb.be/en/classified/country-cottage/for-sale/deux-acren/7864/10589801
,Huy,4500,1,house,house,399500,,4,146,,,,695,4,,10630671,as new,https://www.immoweb.be/en/classified/house/for-sale/huy/4500/10630671
,Lede,9340,1,house,house,399000,,5,215,1,,,775,4,,10623371,good,https://www.immoweb.be/en/classified/house/for-sale/lede/9340/10623371
,Beveren,9120,1,house,town house,399000,isUnderOption,3,210,1,1,190,331,3,,10569108,good,https://www.immoweb.be/en/classified/town-house/for-sale/beveren/9120/10569108
,MOHA,4520,1,house,house,400000,,3,,,1,1200,1444,3,,10611659,,https://www.immoweb.be/en/classified/house/for-sale/moha/4520/10611659
,Rêves,6210,1,house,house,400000,,4,183,1,1,169,585,3,,10481475,good,https://www.immoweb.be/en/classified/house/for-sale/r%C3%AAves/6210/10481475
,Antwerpen,2660,1,house,house,415000,,3,145,1,1,180,297,3,,10578835,good,https://www.immoweb.be/en/classified/house/for-sale/antwerpen/2660/10578835
,Londerzeel,1840,1,house,house,415000,,3,149,1,,,444,3,,10404267,as new,https://www.immoweb.be/en/classified/house/for-sale/londerzeel/1840/10404267
,Antwerp,2018,1,house,house,419000,,5,160,1,,,0,,,10539582,just renovated,https://www.immoweb.be/en/classified/house/for-sale/antwerp/2018/10539582
,Antwerpen,2600,1,house,house,415000,,4,156,1,1,55,128,2,,10590464,as new,https://www.immoweb.be/en/classified/house/for-sale/antwerpen/2600/10590464
,Brugge,8000,1,house,house,415000,isUnderOption,4,,,,,80,2,,9873241,as new,https://www.immoweb.be/en/classified/house/for-sale/brugge/8000/9873241
,Antwerp,2018,1,house,exceptional property,419000,,5,160,1,,,0,,,10539580,just renovated,https://www.immoweb.be/en/classified/exceptional-property/for-sale/antwerp/2018/10539580
,Schaerbeek,1030,0,house,house,425000,isUnderOption,4,210,,1,18,0,2,,10542995,to renovate,https://www.immoweb.be/en/classified/house/for-sale/schaerbeek/1030/10542995
,Nivelles,1400,1,house,apartment block,420000,,2,162,1,1,130,238,2,,10623691,good,https://www.immoweb.be/en/classified/apartment-block/for-sale/nivelles/1400/10623691
,Bois-de-Lessines,7866,1,house,house,425000,isUnderOption,4,215,1,,,1338,4,,10625902,just renovated,https://www.immoweb.be/en/classified/house/for-sale/bois-de-lessines/7866/10625902
,Nandrin,4550,1,house,bungalow,429000,,3,170,1,1,1200,1550,4,1,10573535,as new,https://www.immoweb.be/en/classified/bungalow/for-sale/nandrin/4550/10573535
,Chaumont-Gistoux,1325,1,house,house,420000,isUnderOption,4,154,,,,770,4,,10623667,,https://www.immoweb.be/en/classified/house/for-sale/chaumont-gistoux/1325/10623667
,Ans,4430,1,house,house,430000,,2,203,1,,,2122,4,,10546530,to be done up,https://www.immoweb.be/en/classified/house/for-sale/ans/4430/10546530
,Jodoigne,1370,1,house,house,435000,,4,178,1,1,1237,1299,4,,10570295,just renovated,https://www.immoweb.be/en/classified/house/for-sale/jodoigne/1370/10570295
,Affligem,1790,1,house,bungalow,435000,isUnderOption,3,178,1,1,1006,1213,4,,10578259,to renovate,https://www.immoweb.be/en/classified/bungalow/for-sale/affligem/1790/10578259
,Blegny,4670,1,house,villa,435000,,5,215,1,,,1079,4,,10530029,,https://www.immoweb.be/en/classified/villa/for-sale/blegny/4670/10530029
,Turnhout,2300,1,apartment,apartment,204000,,1,63,1,,,,3,,10441602,,https://www.immoweb.be/en/classified/apartment/for-sale/turnhout/2300/10441602
,Fosses-la-Ville,5070,1,apartment,duplex,209000,,4,192,,,,,3,,10137744,just renovated,https://www.immoweb.be/en/classified/duplex/for-sale/fosses-la-ville/5070/10137744
,Vaux-sous-Chèvremont,4051,1,apartment,apartment,203150,,2,71,,,,,,,10583670,,https://www.immoweb.be/en/classified/apartment/for-sale/vaux-sous-ch%C3%A8vremont/4051/10583670
,Anzegem,8570,1,apartment,apartment,205000,,3,108,1,,,,,,10522373,as new,https://www.immoweb.be/en/classified/apartment/for-sale/anzegem/8570/10522373
,Nivelles,1400,1,house,villa,419900,isUnderOption,4,200,1,1,300,758,4,,10602169,good,https://www.immoweb.be/en/classified/villa/for-sale/nivelles/1400/10602169
,Libramont,6800,1,apartment,apartment,212000,isUnderOption,2,80,,,,,,,10561218,,https://www.immoweb.be/en/classified/apartment/for-sale/libramont/6800/10561218
,Oudenburg,8460,1,apartment,ground floor,209000,isUnderOption,2,110,1,,,,,,10617746,good,https://www.immoweb.be/en/classified/ground-floor/for-sale/oudenburg/8460/10617746
,Denderleeuw,9470,0,apartment,apartment,209000,,1,75,1,,,,,,10303198,just renovated,https://www.immoweb.be/en/classified/apartment/for-sale/denderleeuw/9470/10303198
,Wichelen,9260,1,apartment,apartment,210000,,2,82,1,,,,2,,10605680,good,https://www.immoweb.be/en/classified/apartment/for-sale/wichelen/9260/10605680
,Schaerbeek,1030,1,apartment,flat studio,210000,,0,58,1,,,,,,10570230,to renovate,https://www.immoweb.be/en/classified/flat-studio/for-sale/schaerbeek/1030/10570230
,Diegem,1831,1,apartment,apartment,214950,,1,65,1,,,,4,,9862059,good,https://www.immoweb.be/en/classified/apartment/for-sale/diegem/1831/9862059
,Paliseul,6850,1,apartment,duplex,215000,,2,91,1,,,,2,,10625111,just renovated,https://www.immoweb.be/en/classified/duplex/for-sale/paliseul/6850/10625111
,Vaux-sous-Chèvremont,4051,1,apartment,apartment,213900,,2,86,,,,,3,,10583671,,https://www.immoweb.be/en/classified/apartment/for-sale/vaux-sous-ch%C3%A8vremont/4051/10583671
,Forest,1190,1,apartment,apartment,215000,,1,80,1,,,,,,10625386,good,https://www.immoweb.be/en/classified/apartment/for-sale/forest/1190/10625386
,Strombeek-Bever,1853,1,apartment,apartment,215000,isUnderOption,2,66,1,,,,3,,10574075,good,https://www.immoweb.be/en/classified/apartment/for-sale/strombeek-bever/1853/10574075
,Turnhout,2300,1,apartment,apartment,217000,,1,72,1,,,,3,,10441612,,https://www.immoweb.be/en/classified/apartment/for-sale/turnhout/2300/10441612
,Aalst,9300,1,apartment,apartment,215000,isUnderOption,2,110,,,,,3,,10346610,good,https://www.immoweb.be/en/classified/apartment/for-sale/aalst/9300/10346610
,Leopoldsburg,3970,1,apartment,apartment,219000,,2,99,1,,,,4,,10622512,good,https://www.immoweb.be/en/classified/apartment/for-sale/leopoldsburg/3970/10622512
,Tubize,1480,1,apartment,apartment,220000,,2,72,1,,,,4,,10571057,as new,https://www.immoweb.be/en/classified/apartment/for-sale/tubize/1480/10571057
,Antwerp,2660,1,apartment,apartment,218000,,2,87,,,,,2,,10435469,good,https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2660/10435469
,Dentergem,8720,1,apartment,apartment,219500,,1,97,1,,,,,,10491062,as new,https://www.immoweb.be/en/classified/apartment/for-sale/dentergem/8720/10491062
,Anderlecht,1070,1,apartment,apartment,225000,isUnderOption,2,88,1,,,,2,,10453342,just renovated,https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/10453342
,Ronse,9600,1,apartment,ground floor,219000,,2,70,1,,,,,,10615121,as new,https://www.immoweb.be/en/classified/ground-floor/for-sale/ronse/9600/10615121
,Mol,2400,1,apartment,ground floor,224000,isUnderOption,1,83,1,,,,,,10597845,good,https://www.immoweb.be/en/classified/ground-floor/for-sale/mol/2400/10597845
,Dentergem,8720,1,apartment,apartment,219500,,1,97,1,,,,,,10593013,as new,https://www.immoweb.be/en/classified/apartment/for-sale/dentergem/8720/10593013
,Forest,1190,1,apartment,apartment,230000,isUnderOption,1,62,,,,,2,,10399953,just renovated,https://www.immoweb.be/en/classified/apartment/for-sale/forest/1190/10399953
,Arlon,6700,,apartment,apartment,230000,,2,75,,,,,2,,10302409,,https://www.immoweb.be/en/classified/apartment/for-sale/arlon/6700/10302409
,Wetteren,9230,,apartment,apartment,225000,,1,77,1,,,,,,10628181,good,https://www.immoweb.be/en/classified/apartment/for-sale/wetteren/9230/10628181
,Koekelberg,1081,1,apartment,apartment,220000,isUnderOption,2,87,1,,,,2,,10494043,good,https://www.immoweb.be/en/classified/apartment/for-sale/koekelberg/1081/10494043
,Ganshoren,1083,1,apartment,apartment,235000,isUnderOption,2,99,1,,,,2,,10510977,good,https://www.immoweb.be/en/classified/apartment/for-sale/ganshoren/1083/10510977
,Bassevelde,9968,1,house,house,442500,isUnderOption,2,182,,,,1261,4,,10614729,good,https://www.immoweb.be/en/classified/house/for-sale/bassevelde/9968/10614729
,Dottignies,7711,1,apartment,apartment,232000,,2,130,,,,,4,,10613839,good,https://www.immoweb.be/en/classified/apartment/for-sale/dottignies/7711/10613839
,Oudenaarde,9700,,house,bungalow,435000,,3,139,,,,1200,2,,10487287,to renovate,https://www.immoweb.be/en/classified/bungalow/for-sale/oudenaarde/9700/10487287
,Vilvoorde,1800,1,house,town house,449000,,3,222,1,1,140,315,3,,10453586,good,https://www.immoweb.be/en/classified/town-house/for-sale/vilvoorde/1800/10453586
,Embourg,4053,1,house,house,449000,,3,170,1,1,400,590,3,,10556257,as new,https://www.immoweb.be/en/classified/house/for-sale/embourg/4053/10556257
,Overijse,3090,1,house,villa,440000,isUnderOption,3,209,1,,,511,4,,10396747,to renovate,https://www.immoweb.be/en/classified/villa/for-sale/overijse/3090/10396747
,Geer Lens-Saint-Servais,4250,1,house,house,449000,,5,249,1,1,2471,2563,4,,10365257,as new,https://www.immoweb.be/en/classified/house/for-sale/geer%20lens-saint-servais/4250/10365257
,Zedelgem,8210,1,house,house,449000,,4,197,1,1,175,264,3,,10617196,as new,https://www.immoweb.be/en/classified/house/for-sale/zedelgem/8210/10617196
,Lennik,1750,1,house,house,449000,isUnderOption,3,193,1,1,1100,1200,3,,10508723,good,https://www.immoweb.be/en/classified/house/for-sale/lennik/1750/10508723
,Dendermonde,9200,,house,house,449000,,4,262,,,,597,4,,10623785,,https://www.immoweb.be/en/classified/house/for-sale/dendermonde/9200/10623785
,Aubange,6790,1,house,house,450000,,5,240,1,1,3100,3600,4,,10391367,good,https://www.immoweb.be/en/classified/house/for-sale/aubange/6790/10391367
,Opwijk,1745,1,house,house,450000,isUnderOption,3,222,1,1,270,466,2,,10601454,good,https://www.immoweb.be/en/classified/house/for-sale/opwijk/1745/10601454
,Zuienkerke,8377,1,house,house,465000,,4,256,1,,,300,2,,10507007,good,https://www.immoweb.be/en/classified/house/for-sale/zuienkerke/8377/10507007
,Westerlo,2260,1,house,house,460000,,3,201,1,1,200,790,4,,10587770,just renovated,https://www.immoweb.be/en/classified/house/for-sale/westerlo/2260/10587770
,Evere,1140,1,house,house,470000,,3,203,1,1,70,180,2,,10590071,good,https://www.immoweb.be/en/classified/house/for-sale/evere/1140/10590071
,Bouillon,6830,1,house,house,450000,,7,317,1,,,9670,4,,9863449,,https://www.immoweb.be/en/classified/house/for-sale/bouillon/6830/9863449
,Erembodegem,9320,1,house,house,469000,isUnderOption,4,176,,1,60,240,3,,10362901,as new,https://www.immoweb.be/en/classified/house/for-sale/erembodegem/9320/10362901
,Wellin,6920,1,house,house,455000,,3,120,1,1,3137,3137,4,,10597089,good,https://www.immoweb.be/en/classified/house/for-sale/wellin/6920/10597089
,Kapelle-op-den-Bos,1880,1,house,bungalow,469000,,2,161,1,1,450,620,4,,10495723,good,https://www.immoweb.be/en/classified/bungalow/for-sale/kapelle-op-den-bos/1880/10495723
,Vilvoorde,1800,1,house,house,475000,isUnderOption,6,265,,1,56,230,2,,10553181,good,https://www.immoweb.be/en/classified/house/for-sale/vilvoorde/1800/10553181
,Gent,9000,1,house,house,475000,,3,168,1,1,100,230,3,,10594734,just renovated,https://www.immoweb.be/en/classified/house/for-sale/gent/9000/10594734
,Arlon,6700,1,house,house,475000,isUnderOption,4,188,,,,571,4,,10433058,good,https://www.immoweb.be/en/classified/house/for-sale/arlon/6700/10433058
,Herstal,4040,,house,house,485000,,8,314,1,1,227,382,2,,10605249,good,https://www.immoweb.be/en/classified/house/for-sale/herstal/4040/10605249
,Ingelmunster,8770,1,house,house,479000,isUnderOption,3,195,1,,,600,3,,10586340,as new,https://www.immoweb.be/en/classified/house/for-sale/ingelmunster/8770/10586340
,Comblain-au-Pont,4170,1,house,house,479000,,5,370,1,1,1800,2090,3,,10363726,good,https://www.immoweb.be/en/classified/house/for-sale/comblain-au-pont/4170/10363726
,Hasselt,3500,1,house,house,485000,,4,168,1,1,326,600,3,,10637153,just renovated,https://www.immoweb.be/en/classified/house/for-sale/hasselt/3500/10637153
,Brugge,8000,1,house,house,489000,,3,166,1,,,77,2,,10586112,as new,https://www.immoweb.be/en/classified/house/for-sale/brugge/8000/10586112
,Lincent,4287,1,house,house,489000,,5,315,1,1,2006,2241,4,,10573644,as new,https://www.immoweb.be/en/classified/house/for-sale/lincent/4287/10573644
,Lier,2500,1,house,house,489000,,3,171,1,1,78,135,3,,10607254,as new,https://www.immoweb.be/en/classified/house/for-sale/lier/2500/10607254
,Sint Idesbald,8670,1,house,house,489000,isUnderOption,4,215,1,,,438,3,,10420623,good,https://www.immoweb.be/en/classified/house/for-sale/sint%20idesbald/8670/10420623
,Uccle,1180,1,apartment,apartment,235000,,1,63,,,,,2,,10571010,good,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10571010
,Gent,9041,1,house,house,485000,,3,140,1,1,230,334,3,,10591999,good,https://www.immoweb.be/en/classified/house/for-sale/gent/9041/10591999
,Sint-Pieters-Leeuw Vlezenbeek,1602,1,apartment,apartment,235000,,2,65,1,,,,2,,10563802,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/sint-pieters-leeuw%20vlezenbeek/1602/10563802
,Lessines,7860,1,apartment,apartment,235000,,2,75,1,,,,,,10596819,as new,https://www.immoweb.be/en/classified/apartment/for-sale/lessines/7860/10596819
,Sint-Pieters-Leeuw,1600,1,apartment,apartment,235000,,2,65,1,,,,2,,10563805,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/sint-pieters-leeuw/1600/10563805
,Ottignies-Louvain-la-Neuve,1348,1,apartment,flat studio,235000,isUnderOption,1,54,1,,,,,,10559176,good,https://www.immoweb.be/en/classified/flat-studio/for-sale/ottignies-louvain-la-neuve/1348/10559176
,Uccle,1180,1,apartment,apartment,235000,isUnderOption,1,64,1,,,,2,,10525419,just renovated,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10525419
,Schaerbeek,1030,1,apartment,apartment,239000,,1,65,1,,,,2,,10628081,,https://www.immoweb.be/en/classified/apartment/for-sale/schaerbeek/1030/10628081
,Turnhout,2300,1,apartment,apartment,239000,,1,83,1,,,,3,,10441628,,https://www.immoweb.be/en/classified/apartment/for-sale/turnhout/2300/10441628
,Molenbeek-Saint-Jean,1080,1,apartment,apartment,239000,isUnderOption,2,103,,,,,2,,10326829,as new,https://www.immoweb.be/en/classified/apartment/for-sale/molenbeek-saint-jean/1080/10326829
,Antwerp,2180,1,apartment,apartment,239000,isUnderOption,2,100,1,,,,2,,10579585,good,https://www.immoweb.be/en/classified/apartment/for-sale/antwerp/2180/10579585
,St-Kruis,8310,1,apartment,apartment,239000,,2,86,1,,,,2,,10606750,as new,https://www.immoweb.be/en/classified/apartment/for-sale/st-kruis/8310/10606750
,Jette,1090,1,apartment,apartment,245000,,2,100,1,,,,3,,10615768,good,https://www.immoweb.be/en/classified/apartment/for-sale/jette/1090/10615768
,Woluwe-Saint-Lambert,1200,1,apartment,apartment,240000,isUnderOption,2,86,1,,,,,,10427641,to be done up,https://www.immoweb.be/en/classified/apartment/for-sale/woluwe-saint-lambert/1200/10427641
