Raw num:,Locality,Zip code,Kitchen,Type of property,Subtype of property,Price of property in euro,Type of Sale,Number of bedrooms,Living area,Terrace,Garden,Garden area,Surface of the land(or plot of land),Number of facades,Swimming pool,ID number,State of the building,URL
,Antwerpen,2000,1,apartment,duplex,795000,,2,249,,1,18,,2,,10571012,good,https://www.immoweb.be/en/classified/duplex/for-sale/antwerpen/2000/10571012
,Liege,4000,1,apartment,ground floor,795000,,3,192,1,,,,2,,10383966,as new,https://www.immoweb.be/en/classified/ground-floor/for-sale/liege/4000/10383966
,Uccle,1180,1,apartment,apartment,760000,,2,167,1,,,,2,,10627495,,https://www.immoweb.be/en/classified/apartment/for-sale/uccle/1180/10627495
,Erpe-Mere,9420,1,house,house,219000,,2,130,1,,,600,3,,10645677,to renovate,https://www.immoweb.be/en/classified/house/for-sale/erpe-mere/9420/10645677
,Bruxelles,1000,1,apartment,triplex,775000,,3,179,1,,,,2,,10626024,as new,https://www.immoweb.be/en/classified/triplex/for-sale/bruxelles/1000/10626024
,Knokke-Heist,8300,1,apartment,apartment,830000,,3,87,1,,,,2,,10566856,good,https://www.immoweb.be/en/classified/apartment/for-sale/knokke-heist/8300/10566856
,Knokke-Heist,8300,1,apartment,penthouse,750000,,2,92,1,,,,2,,10625247,good,https://www.immoweb.be/en/classified/penthouse/for-sale/knokke-heist/8300/10625247
,Avelgem,8580,1,house,mixed use building,275000,,3,320,1,,,195,,,10647651,good,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/avelgem/8580/10647651
,Avelgem,8580,1,house,house,275000,,3,320,1,,,195,,,10647645,good,https://www.immoweb.be/en/classified/house/for-sale/avelgem/8580/10647645
,FRASNES-LEZ - BUISSENAL,7911,1,house,mixed use building,285000,,3,320,,,,208,2,,10647578,good,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/frasnes-lez%20-%20buissenal/7911/10647578
,Overijse,3090,,house,house,289000,,3,149,,1,650,870,3,1,10647479,to renovate,https://www.immoweb.be/en/classified/house/for-sale/overijse/3090/10647479
,Gijzegem,9300,1,house,town house,299000,,3,137,1,,,141,2,,10645676,good,https://www.immoweb.be/en/classified/town-house/for-sale/gijzegem/9300/10645676
,Avelgem,8582,1,house,country cottage,295000,,2,600,1,,,877,4,,10646743,to renovate,https://www.immoweb.be/en/classified/country-cottage/for-sale/avelgem/8582/10646743
